gr_document,ir_document,po_number,po_line_item,vendor_code,vendor_name,vendor_invoice,gr_amount,ir_amount,difference,tds_amount,gst_diff,gr_posting_date,ir_posting_date,posting_date,company_code,plant,cost_center,gl_account,currency,payment_terms,aging_days,aging_bucket,discrepancy_flag,discrepancy_reason,confidence_score,tfidf_score,status,sap_clearing_doc,error_msg
5000100016,5100200016,4500100016,0040,1000005,Larsen & Toubro Infotech Ltd,L&T Infotech Ltd,8084431.59,8084431.58,-0.01,0.0,0.0,2024-12-31 00:00:00,2025-02-19 00:00:00,2026-04-29,1000,1002,CC-IT-002,400500,INR,IMMED,90,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,82.7,0.4776,CLEARED,19025152741,
5000100018,5100200018,4500100018,0050,1000015,ABB India Limited,A.B.B. India,954365.12,954365.37,0.25,0.0,0.0,2025-02-28 00:00:00,2025-03-01 00:00:00,2026-04-29,1000,1001,CC-IT-002,400200,INR,NT60,31,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,84.5,0.4709,CLEARED,19073417163,
5000100019,5100200019,4500100019,0020,1000010,Tata Steel Limited,TATA STEEL LIMITED,401080.96,401079.96,-1.0,0.0,0.0,2025-03-25 00:00:00,2025-04-12 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400400,INR,NT30,6,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19062338348,
5000100020,5100200020,4500100020,0040,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,58728.35,58728.35,0.0,0.0,0.0,2024-11-25 00:00:00,2024-12-08 00:00:00,2026-04-29,1000,1003,CC-HR-004,400400,USD,NT45,126,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19097403479,
5000100021,5100200021,4500100021,0010,1000006,Tech Mahindra Limited,Tech Mahindra Limited,3056705.98,3056705.98,0.0,0.0,0.0,2025-01-24 00:00:00,2025-02-26 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400300,INR,NT45,66,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19071985312,
5000100023,5100200023,4500100023,0010,1000008,Hexaware Technologies Ltd,Hexaware Technologies Ltd,2776304.47,2776304.47,0.0,0.0,0.0,2024-12-05 00:00:00,2024-12-08 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400200,INR,IMMED,116,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19020015322,
5000100024,5100200024,4500100024,0030,1000002,Infosys Limited,Infosys Technologies,1046809.86,1046809.61,-0.25,0.0,0.0,2025-02-26 00:00:00,2025-03-18 00:00:00,2026-04-29,1000,1003,CC-IT-002,400100,INR,NT60,33,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,88.6,0.6348,CLEARED,19057390219,
5000100025,5100200025,4500100025,0040,1000015,ABB India Limited,ABB India Ltd,2677807.83,2677807.33,-0.5,0.0,0.0,2025-01-01 00:00:00,2025-01-11 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400300,INR,IMMED,89,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19092340792,
5000100029,5100200029,4500100029,0020,1000016,Bosch Limited,Bosch Ltd,2014303.27,1994160.24,-20143.03,20143.03,0.0,2024-11-20 00:00:00,2024-11-22 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400100,INR,IMMED,131,>90 Days (Critical),TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),92.8,1.0,CLEARED,19039157418,
5000100031,5100200031,4500100031,0050,1000009,Reliance Industries Ltd,Reliance Industries Limited,2163029.93,2163029.94,0.01,0.0,0.0,2024-12-05 00:00:00,2025-01-30 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400200,INR,NT30,116,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19061372916,
5000100032,5100200032,4500100032,0050,1000009,Reliance Industries Ltd,RELIANCE INDUSTRIES,419554.97,415359.42,-4195.55,4195.55,0.0,2025-02-07 00:00:00,2025-03-30 00:00:00,2026-04-29,1000,1003,CC-IT-002,400400,INR,NT45,52,31-60 Days,TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),90.8,1.0,CLEARED,19064831015,
5000100033,5100200033,4500100033,0040,1000011,JSW Steel Ltd,J.S.W. Steel Ltd,882425.8,882426.3,0.5,0.0,0.0,2024-10-23 00:00:00,2024-10-31 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400100,INR,NT30,159,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,87.9,0.606,CLEARED,19010870715,
5000100034,5100200034,4500100034,0030,1000009,Reliance Industries Ltd,Reliance Industries Limited,1171279.92,1171280.92,1.0,0.0,0.0,2024-11-26 00:00:00,2025-01-05 00:00:00,2026-04-29,1000,1003,CC-IT-002,400500,INR,IMMED,125,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19064648788,
5000100035,5100200035,4500100035,0050,1000012,Ultratech Cement Ltd,UltraTech Cement Ltd,74206.42,74206.42,0.0,0.0,0.0,2025-01-18 00:00:00,2025-03-21 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400300,USD,NT45,72,61-90 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19090454592,
5000100036,5100200036,4500100036,0030,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services,7509892.53,6758903.28,-750989.25,750989.25,0.0,2025-01-02 00:00:00,2025-01-05 00:00:00,2026-04-29,1000,1003,CC-IT-002,400200,INR,NT30,88,61-90 Days,TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),80.2,1.0,CLEARED,19079118271,
5000100038,5100200039,4500100038,0020,1000003,Wipro Limited,WIPRO LIMITED,180188.9,180188.89,-0.01,0.0,0.0,2025-03-05 00:00:00,2025-05-01 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400100,INR,NT60,26,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19096774434,
5000100039,5100200040,4500100039,0040,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,3827777.89,3827777.89,0.0,0.0,0.0,2024-10-25 00:00:00,2024-12-21 00:00:00,2026-04-29,1000,1003,CC-IT-002,400200,INR,NT60,157,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19049609120,
5000100041,5100200042,4500100041,0020,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,1747863.72,1747863.72,0.0,0.0,0.0,2024-12-14 00:00:00,2024-12-17 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400500,INR,NT15,107,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19014188713,
5000100042,5100200043,4500100042,0020,1000019,Oracle India Pvt Ltd,ORACLE INDIA PVT LTD,1759871.69,1759881.69,10.0,0.0,0.0,2024-10-10 00:00:00,2024-12-03 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400400,INR,IMMED,172,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19077928358,
5000100044,5100200045,4500100044,0040,1000006,Tech Mahindra Limited,Tech Mahindra,2048381.52,2048386.52,5.0,0.0,0.0,2025-01-12 00:00:00,2025-01-30 00:00:00,2026-04-29,1000,1001,CC-IT-002,400500,INR,NT60,78,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19022669750,
5000100045,5100200046,4500100045,0050,1000006,Tech Mahindra Limited,Tech Mahindra Ltd,43961.7,43959.7,-2.0,0.0,0.0,2025-01-29 00:00:00,2025-02-12 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400200,GBP,IMMED,61,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19021636791,
5000100046,5100200047,4500100046,0010,1000008,Hexaware Technologies Ltd,Hexaware Tech Ltd,1206084.59,1206083.59,-1.0,0.0,0.0,2024-10-17 00:00:00,2024-11-19 00:00:00,2026-04-29,1000,1002,CC-HR-004,400200,INR,NT45,165,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",88.8,0.7234,CLEARED,19094988139,
5000100048,5100200049,4500100048,0050,1000006,Tech Mahindra Limited,Tech Mahindra Limited,29599.32,29599.32,0.0,0.0,0.0,2024-10-27 00:00:00,2024-11-24 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400400,GBP,IMMED,155,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19036350678,
5000100050,5100200052,4500100050,0020,1000002,Infosys Limited,Infosys,422900.2,422899.7,-0.5,0.0,0.0,2024-12-08 00:00:00,2025-01-19 00:00:00,2026-04-29,1000,1002,CC-IT-002,400500,INR,IMMED,113,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19031912842,
5000100051,5100200053,4500100051,0040,1000006,Tech Mahindra Limited,Tech Mahindra Ltd,340058.85,340058.84,-0.01,0.0,0.0,2025-03-18 00:00:00,2025-04-26 00:00:00,2026-04-29,1000,1001,CC-IT-002,400400,INR,NT60,13,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19003183224,
5000100052,5100200054,4500100052,0030,1000004,HCL Technologies Ltd,HCL TECHNOLOGIES,1615563.07,1615565.07,2.0,0.0,0.0,2025-03-23 00:00:00,2025-05-01 00:00:00,2026-04-29,1000,1001,CC-HR-004,400300,INR,NT60,8,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19039802434,
5000100053,5100200055,4500100053,0030,1000018,Bharat Electronics Ltd,Bharat Electronics Ltd,2585267.17,2585267.17,0.0,0.0,0.0,2024-12-23 00:00:00,2025-01-01 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400400,INR,NT45,98,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19085528933,
5000100055,5100200057,4500100055,0020,1000002,Infosys Limited,Infosys Ltd,166495.13,166495.38,0.25,0.0,0.0,2025-03-17 00:00:00,2025-05-16 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400300,INR,NT45,14,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19072869274,
5000100056,5100200058,4500100056,0030,1000003,Wipro Limited,WIPRO LIMITED,9437697.08,9437687.08,-10.0,0.0,0.0,2025-03-08 00:00:00,2025-04-04 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400500,INR,NT15,23,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19090463372,
5000100057,5100200059,4500100057,0020,1000008,Hexaware Technologies Ltd,Hexaware Technologies Ltd,546964.07,546964.07,0.0,0.0,0.0,2025-02-20 00:00:00,2025-02-26 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400100,INR,NT15,39,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19026539981,
5000100059,5100200061,4500100059,0050,1000006,Tech Mahindra Limited,Tech-Mahindra Limited,6428906.64,6428906.65,0.01,0.0,0.0,2025-03-17 00:00:00,2025-03-20 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400500,INR,NT45,14,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19085684718,
5000100060,5100200062,4500100060,0030,1000004,HCL Technologies Ltd,HCL Tech,2144379.89,2144381.89,2.0,0.0,0.0,2024-12-02 00:00:00,2025-01-10 00:00:00,2026-04-29,1000,1002,CC-IT-002,400200,INR,NT30,119,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",84.7,0.5577,CLEARED,19068967718,
5000100061,5100200063,4500100061,0040,1000019,Oracle India Pvt Ltd,Oracle India,392989.1,392988.85,-0.25,0.0,0.0,2025-02-10 00:00:00,2025-04-07 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400400,INR,IMMED,49,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19041780127,
5000100062,5100200064,4500100062,0030,1000020,SAP India Pvt Ltd,SAP India Pvt Ltd,61846.46,61846.46,0.0,0.0,0.0,2024-11-18 00:00:00,2024-12-01 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400200,USD,NT60,133,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19043430959,
5000100068,5100200070,4500100068,0050,1000010,Tata Steel Limited,Tata Steel,2892813.18,2834956.92,-57856.26,57856.26,0.0,2024-10-19 00:00:00,2024-12-16 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400100,INR,NT45,163,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),90.8,1.0,CLEARED,19001042479,
5000100069,5100200071,4500100069,0030,1000015,ABB India Limited,ABB India Limited,1890974.66,1890974.66,0.0,0.0,0.0,2025-01-07 00:00:00,2025-02-08 00:00:00,2026-04-29,1000,1002,CC-IT-002,400200,INR,NT15,83,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19034377679,
5000100070,5100200072,4500100070,0040,1000015,ABB India Limited,ABB LIMITED,296365.26,290437.95,-5927.31,5927.31,0.0,2024-10-06 00:00:00,2024-10-31 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400100,INR,NT15,176,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),81.3,0.7905,CLEARED,19031690380,
5000100071,5100200073,4500100071,0040,1000008,Hexaware Technologies Ltd,Hexaware,191881.31,191881.3,-0.01,0.0,0.0,2024-11-05 00:00:00,2024-11-24 00:00:00,2026-04-29,1000,1003,CC-HR-004,400300,INR,NT30,146,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,90.0,0.6901,CLEARED,19087903460,
5000100073,5100200075,4500100073,0050,1000010,Tata Steel Limited,TATA STEEL LIMITED,130516.64,130515.64,-1.0,0.0,0.0,2025-03-02 00:00:00,2025-03-12 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400100,INR,IMMED,29,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19039543870,
5000100074,5100200076,4500100074,0050,1000016,Bosch Limited,BOSCH LIMITED,55192.87,55194.87,2.0,0.0,0.0,2025-03-10 00:00:00,2025-05-02 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400400,USD,NT15,21,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19022056651,
5000100078,5100200080,4500100078,0010,1000017,Havells India Ltd,Havells India Ltd,2535533.92,2535533.92,0.0,0.0,0.0,2025-02-09 00:00:00,2025-04-07 00:00:00,2026-04-29,1000,1001,CC-HR-004,400200,INR,NT60,50,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19097468502,
5000100079,5100200081,4500100079,0010,1000006,Tech Mahindra Limited,Tech Mahindra,444233.27,444233.27,0.0,0.0,0.0,2025-03-06 00:00:00,2025-06-20 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400500,INR,NT30,25,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,91.0,1.0,CLEARED,19076138187,
5000100080,5100200082,4500100080,0010,1000015,ABB India Limited,ABB India Ltd,71112.58,71112.33,-0.25,0.0,0.0,2025-03-01 00:00:00,2025-04-17 00:00:00,2026-04-29,1000,1002,CC-IT-002,400400,GBP,NT60,30,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19020970720,
5000100082,5100200084,4500100082,0050,1000014,Siemens Ltd,Siemens India Ltd,2496526.21,2496524.21,-2.0,0.0,0.0,2025-03-21 00:00:00,2025-03-25 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400300,INR,NT15,10,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",94.6,0.8737,CLEARED,19097045082,
5000100083,5100200085,4500100083,0020,1000003,Wipro Limited,Wipro Technologies,883798.54,883803.54,5.0,0.0,0.0,2025-01-23 00:00:00,2025-03-14 00:00:00,2026-04-29,1000,1001,CC-HR-004,400200,INR,IMMED,67,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",86.2,0.6198,CLEARED,19018738747,
5000100084,5100200086,4500100084,0050,1000016,Bosch Limited,Robert Bosch,1360711.58,1360711.57,-0.01,0.0,0.0,2025-03-20 00:00:00,2025-05-14 00:00:00,2026-04-29,1000,1002,CC-HR-004,400500,INR,NT45,11,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,85.4,0.5848,CLEARED,19039072138,
5000100085,5100200087,4500100085,0040,1000007,Mphasis Limited,Mphasis Ltd,1101383.42,1090369.59,-11013.83,11013.83,0.0,2025-01-24 00:00:00,2025-02-08 00:00:00,2026-04-29,1000,1003,CC-IT-002,400300,INR,NT30,66,61-90 Days,TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),92.8,1.0,CLEARED,19087374965,
5000100087,5100200089,4500100087,0050,1000004,HCL Technologies Ltd,HCL Tech Ltd,1637914.8,1637915.8,1.0,0.0,0.0,2024-12-29 00:00:00,2025-01-06 00:00:00,2026-04-29,1000,1001,CC-HR-004,400200,INR,NT30,92,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",86.7,0.5577,CLEARED,19027289753,
5000100088,5100200090,4500100088,0030,1000017,Havells India Ltd,Havells India,1959247.71,1959245.71,-2.0,0.0,0.0,2024-10-24 00:00:00,2024-10-25 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400400,INR,NT60,158,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19031951447,
5000100089,5100200091,4500100089,0020,1000012,Ultratech Cement Ltd,UltraTech Cement Ltd,4034559.64,4034559.14,-0.5,0.0,0.0,2025-01-31 00:00:00,2025-03-03 00:00:00,2026-04-29,1000,1002,CC-IT-002,400400,INR,NT30,59,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19020115913,
5000100090,5100200092,4500100090,0010,1000004,HCL Technologies Ltd,HCL Technologies Limited,68503.31,68508.31,5.0,0.0,0.0,2025-03-03 00:00:00,2025-04-25 00:00:00,2026-04-29,1000,1002,CC-HR-004,400300,INR,IMMED,28,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19048838718,
5000100092,5100200095,4500100092,0020,1000006,Tech Mahindra Limited,Tech Mahindra Limited,6125468.21,6125468.21,0.0,0.0,0.0,2025-03-20 00:00:00,2025-04-11 00:00:00,2026-04-29,1000,1001,CC-HR-004,400500,INR,NT45,11,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19086143689,
5000100094,5100200098,4500100094,0050,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services,31854.64,31854.14,-0.5,0.0,0.0,2025-02-14 00:00:00,2025-04-04 00:00:00,2026-04-29,1000,1002,CC-OPS-003,400200,EUR,NT30,45,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19032977607,
5000100096,5100200100,4500100096,0050,1000013,Asian Paints Ltd,ASIAN PAINTS,415119.01,415119.26,0.25,0.0,0.0,2025-03-26 00:00:00,2025-05-13 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400200,INR,IMMED,5,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19009283028,
5000100097,5100200101,4500100097,0010,1000013,Asian Paints Ltd,Asian Paint,556718.16,556717.91,-0.25,0.0,0.0,2025-03-18 00:00:00,2025-03-31 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400400,INR,NT45,13,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,93.7,0.8371,CLEARED,19004544543,
5000100099,5100200103,4500100099,0020,1000009,Reliance Industries Ltd,RIL,4393302.18,4393301.68,-0.5,0.0,0.0,2024-12-04 00:00:00,2024-12-19 00:00:00,2026-04-29,1000,1001,CC-MFG-005,400200,INR,IMMED,117,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19063312835,
5000100100,5100200104,4500100100,0020,1000013,Asian Paints Ltd,Asian Paint,2368530.04,2368530.04,0.0,0.0,0.0,2024-12-23 00:00:00,2025-03-18 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400300,INR,NT30,98,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,89.9,0.8371,CLEARED,19010595961,
5000100101,5100200105,4500100101,0050,1000004,HCL Technologies Ltd,HCL TECHNOLOGIES,325386.97,325387.97,1.0,0.0,0.0,2024-12-23 00:00:00,2025-01-02 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400100,INR,NT30,98,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19004405056,
5000100102,5100200106,4500100102,0040,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services,19404.24,19399.24,-5.0,0.0,0.0,2024-12-18 00:00:00,2025-01-16 00:00:00,2026-04-29,1000,1001,CC-OPS-003,400400,GBP,NT45,103,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19098491095,
5000100103,5100200107,4500100103,0020,1000013,Asian Paints Ltd,Asian Paint,2240519.88,2195709.48,-44810.4,44810.4,0.0,2025-01-17 00:00:00,2025-02-12 00:00:00,2026-04-29,1000,1004,CC-FIN-001,400300,INR,NT15,73,61-90 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),82.4,0.8371,CLEARED,19087542466,
5000100105,5100200109,4500100105,0020,1000004,HCL Technologies Ltd,HCL Tech Ltd,1371714.46,1371714.21,-0.25,0.0,0.0,2025-03-10 00:00:00,2025-04-14 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400300,INR,NT30,21,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,84.7,0.5577,CLEARED,19074145836,
5000100106,5100200110,4500100106,0010,1000002,Infosys Limited,INFOSYS LIMITED,176488.27,176488.27,0.0,0.0,0.0,2025-03-01 00:00:00,2025-06-26 00:00:00,2026-04-29,1000,1003,CC-HR-004,400200,INR,NT30,30,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,91.0,1.0,CLEARED,19072662401,
5000100107,5100200111,4500100107,0010,1000007,Mphasis Limited,MPHASIS LIMITED,1289593.45,1289593.45,0.0,0.0,0.0,2025-02-07 00:00:00,2025-04-14 00:00:00,2026-04-29,1000,1003,CC-IT-002,400500,INR,NT15,52,31-60 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19044123320,
5000100111,5100200115,4500100111,0050,1000008,Hexaware Technologies Ltd,HEXAWARE LIMITED,1214058.11,1214058.12,0.01,0.0,0.0,2025-03-16 00:00:00,2025-05-10 00:00:00,2026-04-29,1000,1001,CC-IT-002,400500,INR,IMMED,15,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,88.0,0.6901,CLEARED,19066100511,
