Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
16,1000,1000,4500100016,0040,ZSER,Annual Maintenance Contract,1000005,LTI,IT Services,5000100016,2024-12-31,2024,174.304,8084431.59,Larsen & Toubro Infotech Ltd,5100200016,2025-02-19,8084431.58,L&T Infotech Ltd,0.0,0.0,-0.01,INR,1002,CC-IT-002,400500,IMMED,90,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.4776,LOW,82.7,35.0,11.9,23.8,7.0,5.0,AUTO-CLEAR
18,1000,2000,4500100018,0050,ZNB,Electrical Equipment,1000015,ABB,Engineering,5000100018,2025-02-28,2025,79.909,954365.12,ABB India Limited,5100200018,2025-03-01,954365.37,A.B.B. India,0.0,0.0,0.25,INR,1001,CC-IT-002,400200,NT60,31,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.4709,LOW,84.5,35.0,11.8,23.8,9.0,5.0,AUTO-CLEAR
19,1000,1000,4500100019,0020,ZNB,Packaging Material,1000010,TATST,Manufacturing,5000100019,2025-03-25,2025,64.148,401080.96,Tata Steel Limited,5100200019,2025-04-12,401079.96,TATA STEEL LIMITED,0.0,0.0,-1.0,INR,1003,CC-FIN-001,400400,NT30,6,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
20,1000,1000,4500100020,0040,ZSER,IT Consulting Services,1000001,TCSL,IT Services,5000100020,2024-11-25,2024,49.111,58728.35,Tata Consultancy Services Ltd,5100200020,2024-12-08,58728.35,Tata Consultancy Services Ltd,0.0,0.0,0.0,USD,1003,CC-HR-004,400400,NT45,126,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
21,1000,2000,4500100021,0010,NB,Network Support Services,1000006,TECHM,IT Services,5000100021,2025-01-24,2025,15.73,3056705.98,Tech Mahindra Limited,5100200021,2025-02-26,3056705.98,Tech Mahindra Limited,0.0,0.0,0.0,INR,1003,CC-FIN-001,400300,NT45,66,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
23,1000,2000,4500100023,0010,ZSER,Cloud Hosting Charges,1000008,HEXW,IT Services,5000100023,2024-12-05,2024,65.483,2776304.47,Hexaware Technologies Ltd,5100200023,2024-12-08,2776304.47,Hexaware Technologies Ltd,0.0,0.0,0.0,INR,1002,CC-MFG-005,400200,IMMED,116,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
24,1000,1000,4500100024,0030,ZSER,IT Consulting Services,1000002,INFY,IT Services,5000100024,2025-02-26,2025,106.533,1046809.86,Infosys Limited,5100200024,2025-03-18,1046809.61,Infosys Technologies,0.0,0.0,-0.25,INR,1003,CC-IT-002,400100,NT60,33,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.6348,MEDIUM,88.6,35.0,15.9,23.8,9.0,5.0,AUTO-CLEAR
25,1000,1000,4500100025,0040,NB,Electrical Equipment,1000015,ABB,Engineering,5000100025,2025-01-01,2025,188.331,2677807.83,ABB India Limited,5100200025,2025-01-11,2677807.33,ABB India Ltd,0.0,0.0,-0.5,INR,1001,CC-FIN-001,400300,IMMED,89,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
29,1000,1000,4500100029,0020,NB,Mechanical Parts,1000016,BSCH,Engineering,5000100029,2024-11-20,2024,85.25,2014303.27,Bosch Limited,5100200029,2024-11-22,1994160.24,Bosch Ltd,20143.03,0.0,-20143.03,INR,1003,CC-MFG-005,400100,IMMED,131,>90 Days (Critical),TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,92.8,35.0,25.0,18.8,9.0,5.0,AUTO-CLEAR
31,1000,1000,4500100031,0050,ZSER,Raw Material Supply,1000009,RIL,Manufacturing,5000100031,2024-12-05,2024,95.219,2163029.93,Reliance Industries Ltd,5100200031,2025-01-30,2163029.94,Reliance Industries Limited,0.0,0.0,0.01,INR,1003,CC-OPS-003,400200,NT30,116,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
32,1000,1000,4500100032,0050,ZNB,Steel Plates 10mm,1000009,RIL,Manufacturing,5000100032,2025-02-07,2025,46.761,419554.97,Reliance Industries Ltd,5100200032,2025-03-30,415359.42,RELIANCE INDUSTRIES,4195.55,0.0,-4195.55,INR,1003,CC-IT-002,400400,NT45,52,31-60 Days,TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,90.8,35.0,25.0,18.8,7.0,5.0,AUTO-CLEAR
33,1000,2000,4500100033,0040,ZNB,Raw Material Supply,1000011,JSWS,Manufacturing,5000100033,2024-10-23,2024,1.954,882425.8,JSW Steel Ltd,5100200033,2024-10-31,882426.3,J.S.W. Steel Ltd,0.0,0.0,0.5,INR,1004,CC-MFG-005,400100,NT30,159,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.606,LOW,87.9,35.0,15.2,23.8,9.0,5.0,AUTO-CLEAR
34,1000,1000,4500100034,0030,NB,Raw Material Supply,1000009,RIL,Manufacturing,5000100034,2024-11-26,2024,60.256,1171279.92,Reliance Industries Ltd,5100200034,2025-01-05,1171280.92,Reliance Industries Limited,0.0,0.0,1.0,INR,1003,CC-IT-002,400500,IMMED,125,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
35,1000,1000,4500100035,0050,ZSER,Packaging Material,1000012,ULTC,Manufacturing,5000100035,2025-01-18,2025,143.953,74206.42,Ultratech Cement Ltd,5100200035,2025-03-21,74206.42,UltraTech Cement Ltd,0.0,0.0,0.0,USD,1002,CC-FIN-001,400300,NT45,72,61-90 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,94.0,35.0,25.0,25.0,4.0,5.0,AUTO-CLEAR
36,1000,1000,4500100036,0030,ZSER,ERP Implementation Services,1000001,TCSL,IT Services,5000100036,2025-01-02,2025,35.425,7509892.53,Tata Consultancy Services Ltd,5100200036,2025-01-05,6758903.28,Tata Consultancy Services,750989.25,0.0,-750989.25,INR,1003,CC-IT-002,400200,NT30,88,61-90 Days,TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,80.2,35.0,25.0,6.2,9.0,5.0,AUTO-CLEAR
38,1000,2000,4500100038,0020,ZSER,Software License Fee,1000003,WIPR,IT Services,5000100038,2025-03-05,2025,133.159,180188.9,Wipro Limited,5100200039,2025-05-01,180188.89,WIPRO LIMITED,0.0,0.0,-0.01,INR,1003,CC-FIN-001,400100,NT60,26,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
39,1000,1000,4500100039,0040,ZNB,Network Support Services,1000001,TCSL,IT Services,5000100039,2024-10-25,2024,167.689,3827777.89,Tata Consultancy Services Ltd,5100200040,2024-12-21,3827777.89,Tata Consultancy Services Ltd,0.0,0.0,0.0,INR,1003,CC-IT-002,400200,NT60,157,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
41,1000,1000,4500100041,0020,NB,Cybersecurity Services,1000001,TCSL,IT Services,5000100041,2024-12-14,2024,167.031,1747863.72,Tata Consultancy Services Ltd,5100200042,2024-12-17,1747863.72,Tata Consultancy Services Ltd,0.0,0.0,0.0,INR,1002,CC-FIN-001,400500,NT15,107,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
42,1000,2000,4500100042,0020,ZNB,Equipment Maintenance,1000019,ORCL,Software,5000100042,2024-10-10,2024,157.708,1759871.69,Oracle India Pvt Ltd,5100200043,2024-12-03,1759881.69,ORACLE INDIA PVT LTD,0.0,0.0,10.0,INR,1004,CC-OPS-003,400400,IMMED,172,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
44,1000,2000,4500100044,0040,ZNB,Data Migration Services,1000006,TECHM,IT Services,5000100044,2025-01-12,2025,33.109,2048381.52,Tech Mahindra Limited,5100200045,2025-01-30,2048386.52,Tech Mahindra,0.0,0.0,5.0,INR,1001,CC-IT-002,400500,NT60,78,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
45,1000,1000,4500100045,0050,ZNB,Annual Maintenance Contract,1000006,TECHM,IT Services,5000100045,2025-01-29,2025,43.187,43961.7,Tech Mahindra Limited,5100200046,2025-02-12,43959.7,Tech Mahindra Ltd,0.0,0.0,-2.0,GBP,1003,CC-MFG-005,400200,IMMED,61,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
46,1000,2000,4500100046,0010,ZNB,Annual Maintenance Contract,1000008,HEXW,IT Services,5000100046,2024-10-17,2024,145.226,1206084.59,Hexaware Technologies Ltd,5100200047,2024-11-19,1206083.59,Hexaware Tech Ltd,0.0,0.0,-1.0,INR,1002,CC-HR-004,400200,NT45,165,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.7234,MEDIUM,88.8,35.0,18.1,23.8,7.0,5.0,AUTO-CLEAR
48,1000,2000,4500100048,0050,ZNB,Cybersecurity Services,1000006,TECHM,IT Services,5000100048,2024-10-27,2024,97.295,29599.32,Tech Mahindra Limited,5100200049,2024-11-24,29599.32,Tech Mahindra Limited,0.0,0.0,0.0,GBP,1004,CC-MFG-005,400400,IMMED,155,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
50,1000,1000,4500100050,0020,NB,Cybersecurity Services,1000002,INFY,IT Services,5000100050,2024-12-08,2024,95.777,422900.2,Infosys Limited,5100200052,2025-01-19,422899.7,Infosys,0.0,0.0,-0.5,INR,1002,CC-IT-002,400500,IMMED,113,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
51,1000,2000,4500100051,0040,NB,Data Migration Services,1000006,TECHM,IT Services,5000100051,2025-03-18,2025,61.018,340058.85,Tech Mahindra Limited,5100200053,2025-04-26,340058.84,Tech Mahindra Ltd,0.0,0.0,-0.01,INR,1001,CC-IT-002,400400,NT60,13,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
52,1000,1000,4500100052,0030,ZNB,Data Migration Services,1000004,HCLT,IT Services,5000100052,2025-03-23,2025,54.647,1615563.07,HCL Technologies Ltd,5100200054,2025-05-01,1615565.07,HCL TECHNOLOGIES,0.0,0.0,2.0,INR,1001,CC-HR-004,400300,NT60,8,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
53,1000,1000,4500100053,0030,NB,Mechanical Parts,1000018,BEL,Defence,5000100053,2024-12-23,2024,195.408,2585267.17,Bharat Electronics Ltd,5100200055,2025-01-01,2585267.17,Bharat Electronics Ltd,0.0,0.0,0.0,INR,1001,CC-FIN-001,400400,NT45,98,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
55,1000,2000,4500100055,0020,NB,ERP Implementation Services,1000002,INFY,IT Services,5000100055,2025-03-17,2025,71.434,166495.13,Infosys Limited,5100200057,2025-05-16,166495.38,Infosys Ltd,0.0,0.0,0.25,INR,1002,CC-FIN-001,400300,NT45,14,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
56,1000,2000,4500100056,0030,ZNB,Annual Maintenance Contract,1000003,WIPR,IT Services,5000100056,2025-03-08,2025,167.789,9437697.08,Wipro Limited,5100200058,2025-04-04,9437687.08,WIPRO LIMITED,0.0,0.0,-10.0,INR,1002,CC-FIN-001,400500,NT15,23,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
57,1000,2000,4500100057,0020,ZSER,Software License Fee,1000008,HEXW,IT Services,5000100057,2025-02-20,2025,140.989,546964.07,Hexaware Technologies Ltd,5100200059,2025-02-26,546964.07,Hexaware Technologies Ltd,0.0,0.0,0.0,INR,1003,CC-MFG-005,400100,NT15,39,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
59,1000,1000,4500100059,0050,NB,Data Migration Services,1000006,TECHM,IT Services,5000100059,2025-03-17,2025,47.845,6428906.64,Tech Mahindra Limited,5100200061,2025-03-20,6428906.65,Tech-Mahindra Limited,0.0,0.0,0.01,INR,1003,CC-OPS-003,400500,NT45,14,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
60,1000,2000,4500100060,0030,ZSER,Software License Fee,1000004,HCLT,IT Services,5000100060,2024-12-02,2024,42.566,2144379.89,HCL Technologies Ltd,5100200062,2025-01-10,2144381.89,HCL Tech,0.0,0.0,2.0,INR,1002,CC-IT-002,400200,NT30,119,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.5577,LOW,84.7,35.0,13.9,23.8,7.0,5.0,AUTO-CLEAR
61,1000,2000,4500100061,0040,ZNB,Control Panel Supply,1000019,ORCL,Software,5000100061,2025-02-10,2025,121.97,392989.1,Oracle India Pvt Ltd,5100200063,2025-04-07,392988.85,Oracle India,0.0,0.0,-0.25,INR,1003,CC-MFG-005,400400,IMMED,49,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
62,1000,2000,4500100062,0030,NB,Mechanical Parts,1000020,SAPI,Software,5000100062,2024-11-18,2024,134.545,61846.46,SAP India Pvt Ltd,5100200064,2024-12-01,61846.46,SAP India Pvt Ltd,0.0,0.0,0.0,USD,1002,CC-MFG-005,400200,NT60,133,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
68,1000,2000,4500100068,0050,NB,Raw Material Supply,1000010,TATST,Manufacturing,5000100068,2024-10-19,2024,80.48,2892813.18,Tata Steel Limited,5100200070,2024-12-16,2834956.92,Tata Steel,57856.26,0.0,-57856.26,INR,1001,CC-FIN-001,400100,NT45,163,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,90.8,35.0,25.0,18.8,7.0,5.0,AUTO-CLEAR
69,1000,2000,4500100069,0030,ZNB,Equipment Maintenance,1000015,ABB,Engineering,5000100069,2025-01-07,2025,70.779,1890974.66,ABB India Limited,5100200071,2025-02-08,1890974.66,ABB India Limited,0.0,0.0,0.0,INR,1002,CC-IT-002,400200,NT15,83,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
70,1000,1000,4500100070,0040,ZSER,Mechanical Parts,1000015,ABB,Engineering,5000100070,2024-10-06,2024,38.322,296365.26,ABB India Limited,5100200072,2024-10-31,290437.95,ABB LIMITED,5927.31,0.0,-5927.31,INR,1004,CC-MFG-005,400100,NT15,176,>90 Days (Critical),TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,0.7905,MEDIUM,81.3,35.0,19.8,12.5,9.0,5.0,AUTO-CLEAR
71,1000,2000,4500100071,0040,NB,Network Support Services,1000008,HEXW,IT Services,5000100071,2024-11-05,2024,3.014,191881.31,Hexaware Technologies Ltd,5100200073,2024-11-24,191881.3,Hexaware,0.0,0.0,-0.01,INR,1003,CC-HR-004,400300,NT30,146,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.6901,MEDIUM,90.0,35.0,17.3,23.8,9.0,5.0,AUTO-CLEAR
73,1000,2000,4500100073,0050,ZNB,Packaging Material,1000010,TATST,Manufacturing,5000100073,2025-03-02,2025,146.335,130516.64,Tata Steel Limited,5100200075,2025-03-12,130515.64,TATA STEEL LIMITED,0.0,0.0,-1.0,INR,1004,CC-OPS-003,400100,IMMED,29,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
74,1000,1000,4500100074,0050,ZSER,Equipment Maintenance,1000016,BSCH,Engineering,5000100074,2025-03-10,2025,193.976,55192.87,Bosch Limited,5100200076,2025-05-02,55194.87,BOSCH LIMITED,0.0,0.0,2.0,USD,1003,CC-FIN-001,400400,NT15,21,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
78,1000,1000,4500100078,0010,ZSER,Engineering Consultancy,1000017,HAVL,Electrical,5000100078,2025-02-09,2025,52.531,2535533.92,Havells India Ltd,5100200080,2025-04-07,2535533.92,Havells India Ltd,0.0,0.0,0.0,INR,1001,CC-HR-004,400200,NT60,50,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
79,1000,2000,4500100079,0010,ZSER,Annual Maintenance Contract,1000006,TECHM,IT Services,5000100079,2025-03-06,2025,8.918,444233.27,Tech Mahindra Limited,5100200081,2025-06-20,444233.27,Tech Mahindra,0.0,0.0,0.0,INR,1003,CC-MFG-005,400500,NT30,25,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,91.0,35.0,25.0,25.0,1.0,5.0,AUTO-CLEAR
80,1000,2000,4500100080,0010,ZNB,Electrical Equipment,1000015,ABB,Engineering,5000100080,2025-03-01,2025,10.467,71112.58,ABB India Limited,5100200082,2025-04-17,71112.33,ABB India Ltd,0.0,0.0,-0.25,GBP,1002,CC-IT-002,400400,NT60,30,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
82,1000,1000,4500100082,0050,NB,Engineering Consultancy,1000014,SIEM,Engineering,5000100082,2025-03-21,2025,47.525,2496526.21,Siemens Ltd,5100200084,2025-03-25,2496524.21,Siemens India Ltd,0.0,0.0,-2.0,INR,1004,CC-OPS-003,400300,NT15,10,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.8737,MEDIUM,94.6,35.0,21.8,23.8,9.0,5.0,AUTO-CLEAR
83,1000,1000,4500100083,0020,ZSER,Data Migration Services,1000003,WIPR,IT Services,5000100083,2025-01-23,2025,177.435,883798.54,Wipro Limited,5100200085,2025-03-14,883803.54,Wipro Technologies,0.0,0.0,5.0,INR,1001,CC-HR-004,400200,IMMED,67,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.6198,LOW,86.2,35.0,15.5,23.8,7.0,5.0,AUTO-CLEAR
84,1000,2000,4500100084,0050,ZSER,Mechanical Parts,1000016,BSCH,Engineering,5000100084,2025-03-20,2025,191.173,1360711.58,Bosch Limited,5100200086,2025-05-14,1360711.57,Robert Bosch,0.0,0.0,-0.01,INR,1002,CC-HR-004,400500,NT45,11,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.5848,LOW,85.4,35.0,14.6,23.8,7.0,5.0,AUTO-CLEAR
85,1000,2000,4500100085,0040,ZNB,Cloud Hosting Charges,1000007,MPHL,IT Services,5000100085,2025-01-24,2025,173.678,1101383.42,Mphasis Limited,5100200087,2025-02-08,1090369.59,Mphasis Ltd,11013.83,0.0,-11013.83,INR,1003,CC-IT-002,400300,NT30,66,61-90 Days,TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,92.8,35.0,25.0,18.8,9.0,5.0,AUTO-CLEAR
87,1000,1000,4500100087,0050,NB,Cloud Hosting Charges,1000004,HCLT,IT Services,5000100087,2024-12-29,2024,30.887,1637914.8,HCL Technologies Ltd,5100200089,2025-01-06,1637915.8,HCL Tech Ltd,0.0,0.0,1.0,INR,1001,CC-HR-004,400200,NT30,92,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.5577,LOW,86.7,35.0,13.9,23.8,9.0,5.0,AUTO-CLEAR
