Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
43,1000,1000,4500100043,0040,ZSER,Industrial Chemicals,1000009,RIL,Manufacturing,5000100043,2024-12-07,2024,191.647,372989.36,Reliance Industries Ltd,5100200044,2024-12-09,93247.34,Reliance Industries Limited,0.0,0.0,-279742.02,INR,1002,CC-MFG-005,400300,NT15,114,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
54,1000,2000,4500100054,0030,ZNB,Mechanical Parts,1000018,BEL,Defence,5000100054,2024-11-16,2024,34.724,2152201.83,Bharat Electronics Ltd,5100200056,2024-12-29,1614151.37,Bharat Electronics,0.0,0.0,-538050.46,INR,1004,CC-IT-002,400100,NT45,135,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (75% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
58,1000,1000,4500100058,0030,NB,Data Migration Services,1000001,TCSL,IT Services,5000100058,2025-01-05,2025,35.651,223433.31,Tata Consultancy Services Ltd,5100200060,2025-01-26,212261.64,Tata Consultancy Svcs Ltd,11171.67,0.0,-11171.67,INR,1002,CC-FIN-001,400100,NT30,85,61-90 Days,TDS DEDUCTED,TDS @ 5.0% deducted on payment (Sec 194C/194J),,,,,0.7024,MEDIUM,72.8,35.0,17.6,6.2,9.0,5.0,REVIEW
63,1000,2000,4500100063,0030,ZNB,Industrial Chemicals,1000012,ULTC,Manufacturing,5000100063,2024-12-03,2024,42.738,350375.67,Ultratech Cement Ltd,5100200065,2025-01-03,175187.83,ULTRATECH CEMENT LTD,0.0,0.0,-175187.84,INR,1002,CC-IT-002,400400,NT45,118,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
64,1000,2000,4500100064,0040,ZSER,Cement Bags 50kg,1000009,RIL,Manufacturing,5000100064,2024-10-06,2024,170.181,112834.22,Reliance Industries Ltd,5100200066,2024-10-24,126374.33,Reliance Inds Ltd,0.0,13540.11,13540.11,INR,1003,CC-HR-004,400200,NT30,176,>90 Days (Critical),GST MISMATCH,GST @ 12% included in IR but not in GR,,,,,0.6072,LOW,64.2,35.0,15.2,0.0,9.0,5.0,REVIEW
65,1000,1000,4500100065,0010,ZSER,Chemical Compounds,1000013,ASPNT,Manufacturing,5000100065,2024-10-28,2024,121.603,3659649.89,Asian Paints Ltd,5100200067,2024-12-24,914912.47,Asian Paint,0.0,0.0,-2744737.42,INR,1002,CC-MFG-005,400300,NT30,154,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,0.8371,MEDIUM,67.9,35.0,20.9,0.0,7.0,5.0,REVIEW
66,1000,2000,4500100066,0030,ZNB,Electrical Equipment,1000020,SAPI,Software,5000100066,2025-03-24,2025,5.93,63845.03,SAP India Pvt Ltd,5100200068,2025-05-09,47883.77,SAP India Private Ltd,0.0,0.0,-15961.26,EUR,1001,CC-HR-004,400500,NT45,7,0-30 Days,PARTIAL INVOICE,Partial invoice raised (75% of PO value),,,,,0.6034,LOW,62.1,35.0,15.1,0.0,7.0,5.0,REVIEW
67,1000,2000,4500100067,0040,ZNB,ERP Implementation Services,1000007,MPHL,IT Services,5000100067,2024-10-16,2024,36.116,625395.59,Mphasis Limited,5100200069,2024-10-26,800506.36,MPHASIS LIMITED,0.0,175110.77,175110.77,INR,1002,CC-MFG-005,400400,NT45,166,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
72,1000,1000,4500100072,0030,ZSER,Spare Parts Supply,1000020,SAPI,Software,5000100072,2024-12-15,2024,93.172,2569681.74,SAP India Pvt Ltd,5100200074,2025-01-15,642420.44,SAP INDIA PVT LTD,0.0,0.0,-1927261.3,INR,1004,CC-IT-002,400100,IMMED,106,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
75,1000,2000,4500100075,0040,NB,Cybersecurity Services,1000005,LTI,IT Services,5000100075,2025-02-24,2025,172.098,9221640.62,Larsen & Toubro Infotech Ltd,5100200077,2025-04-09,2305410.15,Larsen Toubro Infotech,0.0,0.0,-6916230.47,INR,1002,CC-FIN-001,400300,NT15,35,31-60 Days,PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
76,1000,2000,4500100076,0030,NB,Network Support Services,1000005,LTI,IT Services,5000100076,2025-01-07,2025,144.087,430063.68,Larsen & Toubro Infotech Ltd,5100200078,2025-02-22,430062.68,LTI Limited,0.0,0.0,-1.0,INR,1003,CC-FIN-001,400100,IMMED,83,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.0351,LOW,71.6,35.0,0.9,23.8,7.0,5.0,REVIEW
77,1000,1000,4500100077,0030,ZSER,ERP Implementation Services,1000004,HCLT,IT Services,5000100077,2024-11-08,2024,145.484,160149.87,HCL Technologies Ltd,5100200079,2024-12-06,152142.38,HCL Tech Ltd,8007.49,0.0,-8007.49,INR,1001,CC-MFG-005,400300,NT60,143,>90 Days (Critical),TDS DEDUCTED,TDS @ 5.0% deducted on payment (Sec 194C/194J),,,,,0.5577,LOW,75.4,35.0,13.9,12.5,9.0,5.0,REVIEW
81,1000,2000,4500100081,0020,NB,Control Panel Supply,1000019,ORCL,Software,5000100081,2025-01-20,2025,190.725,47989.64,Oracle India Pvt Ltd,5100200083,2025-01-21,11997.41,Oracle India Private Ltd,0.0,0.0,-35992.23,EUR,1001,CC-FIN-001,400300,IMMED,70,61-90 Days,PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,0.6962,MEDIUM,66.4,35.0,17.4,0.0,9.0,5.0,REVIEW
86,1000,1000,4500100086,0010,NB,Engineering Consultancy,1000018,BEL,Defence,5000100086,2025-02-04,2025,104.969,21590.4,Bharat Electronics Ltd,5100200088,2025-02-26,21589.9,BEL India,0.0,0.0,-0.5,GBP,1004,CC-MFG-005,400500,NT30,55,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.04,LOW,73.8,35.0,1.0,23.8,9.0,5.0,REVIEW
95,1000,1000,4500100095,0050,ZNB,IT Consulting Services,1000004,HCLT,IT Services,5000100095,2024-11-03,2024,112.195,2213980.58,HCL Technologies Ltd,5100200099,2024-11-15,2833895.14,HCL Tech,0.0,619914.56,619914.56,INR,1002,CC-HR-004,400300,NT60,148,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,0.5577,LOW,62.9,35.0,13.9,0.0,9.0,5.0,REVIEW
98,1000,2000,4500100098,0040,NB,Data Migration Services,1000002,INFY,IT Services,5000100098,2025-02-07,2025,83.981,421671.48,Infosys Limited,5100200102,2025-03-24,210835.74,Infosys Technologies,0.0,0.0,-210835.74,INR,1002,CC-HR-004,400100,NT60,52,31-60 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,0.6348,MEDIUM,62.9,35.0,15.9,0.0,7.0,5.0,REVIEW
104,1000,2000,4500100104,0050,NB,Data Migration Services,1000007,MPHL,IT Services,5000100104,2025-01-03,2025,94.408,9361618.8,Mphasis Limited,5100200108,2025-02-26,8425456.92,MPHASIS LIMITED,936161.88,0.0,-936161.88,INR,1004,CC-HR-004,400100,NT15,87,61-90 Days,TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
108,1000,2000,4500100108,0010,ZNB,Engineering Consultancy,1000014,SIEM,Engineering,5000100108,2024-10-26,2024,164.848,1428525.45,Siemens Ltd,5100200112,2024-11-27,1071394.09,SIEMENS LIMITED,0.0,0.0,-357131.36,INR,1001,CC-MFG-005,400100,NT30,156,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (75% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
109,1000,1000,4500100109,0020,ZSER,Annual Maintenance Contract,1000008,HEXW,IT Services,5000100109,2025-03-13,2025,97.134,66528.09,Hexaware Technologies Ltd,5100200113,2025-04-19,74511.46,HEXAWARE LIMITED,0.0,7983.37,7983.37,USD,1003,CC-IT-002,400200,NT60,18,0-30 Days,GST MISMATCH,GST @ 12% included in IR but not in GR,,,,,0.6901,MEDIUM,64.3,35.0,17.3,0.0,7.0,5.0,REVIEW
110,1000,1000,4500100110,0030,ZSER,Software License Fee,1000007,MPHL,IT Services,5000100110,2024-12-26,2024,165.251,1285014.97,Mphasis Limited,5100200114,2025-02-06,321253.74,Mphasis Ltd,0.0,0.0,-963761.23,INR,1003,CC-HR-004,400400,NT30,95,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
121,1000,2000,4500100121,0020,ZNB,Equipment Maintenance,1000020,SAPI,Software,5000100121,2025-02-06,2025,130.826,22059.22,SAP India Pvt Ltd,5100200126,2025-03-15,5514.81,SAP India Ltd,0.0,0.0,-16544.41,USD,1003,CC-FIN-001,400400,NT60,53,31-60 Days,PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
124,1000,2000,4500100124,0010,NB,Packaging Material,1000013,ASPNT,Manufacturing,5000100124,2024-12-13,2024,137.49,4732846.95,Asian Paints Ltd,5100200129,2025-02-05,5300788.58,ASIAN PAINTS,0.0,567941.63,567941.63,INR,1003,CC-MFG-005,400400,NT30,108,>90 Days (Critical),GST MISMATCH,GST @ 12% included in IR but not in GR,,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
135,1000,1000,4500100135,0040,ZNB,Cloud Hosting Charges,1000005,LTI,IT Services,5000100135,2024-10-02,2024,191.845,98407.9,Larsen & Toubro Infotech Ltd,5100200140,2024-10-13,125962.11,L&T Infotech,0.0,27554.21,27554.21,USD,1002,CC-IT-002,400300,NT45,180,>90 Days (Critical),GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,0.4776,LOW,60.9,35.0,11.9,0.0,9.0,5.0,REVIEW
138,1000,2000,4500100138,0010,ZNB,Electrical Equipment,1000018,BEL,Defence,5000100138,2025-01-13,2025,62.814,704578.54,Bharat Electronics Ltd,5100200143,2025-03-06,352289.27,BHARAT ELECTRONICS LTD,0.0,0.0,-352289.27,INR,1004,CC-IT-002,400100,NT15,77,61-90 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
147,1000,2000,4500100147,0010,ZSER,Steel Plates 10mm,1000013,ASPNT,Manufacturing,5000100147,2025-02-11,2025,189.575,99175.12,Asian Paints Ltd,5100200152,2025-04-03,89257.61,Asian Paints Limited,9917.51,0.0,-9917.51,USD,1004,CC-MFG-005,400200,IMMED,48,31-60 Days,TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,78.2,35.0,25.0,6.2,7.0,5.0,REVIEW
148,1000,1000,4500100148,0020,ZSER,Mechanical Parts,1000015,ABB,Engineering,5000100148,2025-02-28,2025,126.246,1692303.51,ABB India Limited,5100200153,2025-04-01,423075.88,A.B.B. India,0.0,0.0,-1269227.63,INR,1004,CC-FIN-001,400200,NT15,31,31-60 Days,PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,0.4709,LOW,58.8,35.0,11.8,0.0,7.0,5.0,REVIEW
152,1000,1000,4500100152,0010,NB,Packaging Material,1000011,JSWS,Manufacturing,5000100152,2025-03-15,2025,189.492,552217.09,JSW Steel Ltd,5100200157,2025-05-13,706837.88,JSW Steel,0.0,154620.79,154620.79,INR,1002,CC-FIN-001,400300,NT60,16,0-30 Days,GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
153,1000,2000,4500100153,0050,NB,Industrial Chemicals,1000009,RIL,Manufacturing,5000100153,2025-01-06,2025,77.446,361568.69,Reliance Industries Ltd,5100200158,2025-01-11,180784.35,Reliance Industries Limited,0.0,0.0,-180784.34,INR,1001,CC-MFG-005,400500,IMMED,84,61-90 Days,PARTIAL INVOICE,Partial invoice raised (50% of PO value),,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
160,1000,1000,4500100160,0030,ZNB,ERP Implementation Services,1000005,LTI,IT Services,5000100160,2025-03-02,2025,100.769,7370968.52,Larsen & Toubro Infotech Ltd,5100200165,2025-03-10,7739516.95,L&T Infotech Ltd,0.0,368548.43,368548.43,INR,1001,CC-OPS-003,400200,NT45,29,0-30 Days,GST MISMATCH,GST @ 5% included in IR but not in GR,,,,,0.4776,LOW,67.2,35.0,11.9,6.2,9.0,5.0,REVIEW
164,1000,2000,4500100164,0040,ZSER,Data Migration Services,1000005,LTI,IT Services,5000100164,2025-03-10,2025,13.327,1579915.98,Larsen & Toubro Infotech Ltd,5100200169,2025-04-27,1579916.23,LTI Limited,0.0,0.0,0.25,INR,1002,CC-FIN-001,400300,IMMED,21,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.0351,LOW,71.6,35.0,0.9,23.8,7.0,5.0,REVIEW
171,1000,2000,4500100171,0040,ZNB,Cloud Hosting Charges,1000004,HCLT,IT Services,5000100171,2025-03-13,2025,186.786,248646.8,HCL Technologies Ltd,5100200176,2025-04-07,318267.9,HCL Technologies Limited,0.0,69621.1,69621.1,INR,1001,CC-FIN-001,400300,NT15,18,0-30 Days,GST MISMATCH,GST @ 28% included in IR but not in GR,,,,,1.0,HIGH,74.0,35.0,25.0,0.0,9.0,5.0,REVIEW
172,1000,2000,4500100172,0020,NB,Electrical Equipment,1000020,SAPI,Software,5000100172,2024-12-05,2024,73.59,592837.36,SAP India Pvt Ltd,5100200177,2025-02-02,148209.34,SAP India Ltd,0.0,0.0,-444628.02,INR,1004,CC-IT-002,400400,NT60,116,>90 Days (Critical),PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
177,1000,2000,4500100177,0020,ZSER,Spare Parts Supply,1000015,ABB,Engineering,5000100177,2024-12-24,2024,140.715,558484.14,ABB India Limited,5100200182,2025-02-16,502635.73,ABB LIMITED,55848.41,0.0,-55848.41,INR,1004,CC-HR-004,400400,IMMED,97,>90 Days (Critical),TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),,,,,0.7905,MEDIUM,73.0,35.0,19.8,6.2,7.0,5.0,REVIEW
179,1000,1000,4500100179,0020,ZSER,Cybersecurity Services,1000005,LTI,IT Services,5000100179,2024-12-06,2024,112.452,207062.53,Larsen & Toubro Infotech Ltd,5100200184,2025-04-01,207062.53,L&T Infotech,0.0,0.0,0.0,INR,1002,CC-OPS-003,400300,NT30,115,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,0.4776,LOW,77.9,35.0,11.9,25.0,1.0,5.0,REVIEW
185,1000,2000,4500100185,0040,ZNB,Control Panel Supply,1000016,BSCH,Engineering,5000100185,2025-01-10,2025,169.744,15609.18,Bosch Limited,5100200190,2025-02-22,16389.64,Robert Bosch,0.0,780.46,780.46,EUR,1001,CC-FIN-001,400100,NT15,80,61-90 Days,GST MISMATCH,GST @ 5% included in IR but not in GR,,,,,0.5848,LOW,67.9,35.0,14.6,6.2,7.0,5.0,REVIEW
191,1000,2000,4500100191,0020,ZSER,Electrical Equipment,1000014,SIEM,Engineering,5000100191,2024-12-11,2024,170.533,411775.85,Siemens Ltd,5100200196,2025-01-22,370598.27,SIEMENS LIMITED,41177.58,0.0,-41177.58,INR,1002,CC-IT-002,400300,NT30,110,>90 Days (Critical),TDS DEDUCTED,TDS @ 10.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,78.2,35.0,25.0,6.2,7.0,5.0,REVIEW
198,1000,1000,4500100198,0010,ZNB,Software License Fee,1000003,WIPR,IT Services,5000100198,2025-01-07,2025,192.189,1764483.37,Wipro Limited,5100200203,2025-03-07,441120.84,Wipro Ltd,0.0,0.0,-1323362.53,INR,1002,CC-IT-002,400100,NT45,83,61-90 Days,PARTIAL INVOICE,Partial invoice raised (25% of PO value),,,,,1.0,HIGH,72.0,35.0,25.0,0.0,7.0,5.0,REVIEW
